,name,zip,address,Phone,type,type2,latitude,longitude,Label,url_status,Website
1,Maze Craze,28442,370 Artesia Rd Hallsboro NC 28442,(910) 520-8940,farm,Cornmaze,34.3276601,-78.57717664,"<B>Maze Craze</B><br><B>Address: </B>370 Artesia Rd Hallsboro NC 28442<br><B>Type: </B>farm<br><B>Details: </B>Cornmaze<br><a href=""www.ncmazecraze.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.gallowayfarmnc.com
2,Tucker Farms,27834,2539 Seven Pines Rd Greenville NC 27834,(252) 753-2016,farm,Cornmaze,35.6495983,-77.55323606,"<B>Tucker Farms</B><br><B>Address: </B>2539 Seven Pines Rd Greenville NC 27834<br><B>Type: </B>farm<br><B>Details: </B>Cornmaze<br><a href=""www.tuckertaters.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.google.com/search?q=tuckertaters.com&client=safari&sca_esv=7b433c53e6d180e1&rls=en&sxsrf=AE3TifOnI5vpmgdUuQKCbkFDpZEc8Xlrkg%3A1749828054782&ei=1kFMaPuyL-i1wt0PkbXc8Qg&ved=0ahUKEwj79f282e6NAxXomrAFHZEaN44Q4dUDCBA&uact=5&oq=tuckertaters.com&gs_lp=Egxnd3Mtd2l6LXNlcnAiEHR1Y2tlcnRhdGVycy5jb21InCFQ8gRYjiBwAXgCkAEBmAHJAqABnAaqAQcwLjEuMS4xuAEDyAEA-AEC-AEBmAICoAI0wgIEEAAYR8ICChAAGLADGNYEGEfCAg0QABiABBiwAxhDGIoFmAMAiAYBkAYKkgcBMqAHpASyBwC4BwDCBwUzLTEuMcgHLA&sclient=gws-wiz-serp
3,Zane's Clodbuster Farms,27284,5500 Leonard Farm Rd Kernersville NC 27284,(336) 409-0796,farm,Cornmaze,36.03769677,-80.12196647,"<B>Zane's Clodbuster Farms</B><br><B>Address: </B>5500 Leonard Farm Rd Kernersville NC 27284<br><B>Type: </B>farm<br><B>Details: </B>Cornmaze<br><a href=""www.zanesclodbusterfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://zanesclodbusterfarms.com
4,3 Bluebirds Farm,27603,1001 Horse Creek Rd Raleigh NC 27603,(919) 629-7500,farm,Other,35.6430717,-78.65526654,"<B>3 Bluebirds Farm</B><br><B>Address: </B>1001 Horse Creek Rd Raleigh NC 27603<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.3bluebirdsfarm.org"" target=""_blank"">Website</a><br>",Not Accessible,https://www.3bluebirdsfarm.org
7,All-A-Flutter Farms,27265,7850 Clinard Farms Rd # B High Point NC 27265,(336) 454-5651,farm,Other,36.0568911,-79.9746975,"<B>All-A-Flutter Farms</B><br><B>Address: </B>7850 Clinard Farms Rd # B High Point NC 27265<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.all-a-flutter.com"" target=""_blank"">Website</a><br>",Not Accessible,www.all-a-flutter.com
9,Back To Earth Farm,27205,3175 Trotter Rd Asheboro NC 27205,(336) 000-1111,farm,Other,35.64200064,-79.95489429,"<B>Back To Earth Farm</B><br><B>Address: </B>3175 Trotter Rd Asheboro NC 27205<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.backtoearthfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.backtoearthfarm.com
10,Bee Wild Farm,27278,4416 St Marys Rd Hillsborough NC 27278,(919) 000-1111,farm,Other,36.10870365,-79.02323758,"<B>Bee Wild Farm</B><br><B>Address: </B>4416 St Marys Rd Hillsborough NC 27278<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.beewildfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://beewildfarm.com
11,Belvidere Blue Barn Alpaca Frm,27919,1625 Belvidere Rd Belvidere NC 27919,(252) 297-2194,farm,Other,36.26815442,-76.54814301,"<B>Belvidere Blue Barn Alpaca Frm</B><br><B>Address: </B>1625 Belvidere Rd Belvidere NC 27919<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.belviderebluebarnalpacafarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.belviderebluebarnalpacafarm.com
13,Blue Feather Creek Farm,28675,942 Halsey Knob Rd Sparta NC 28675,(336) 000-1111,farm,Other,36.54398303,-81.23026401,"<B>Blue Feather Creek Farm</B><br><B>Address: </B>942 Halsey Knob Rd Sparta NC 28675<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.bluefeatherhomestead.weebly.com"" target=""_blank"">Website</a><br>",Not Accessible,https://bluefeatherhomestead.weebly.com/about-me.html
15,Briar Creek Farm,27326,244 Schoolfield Rd Ruffin NC 27326,(336) 939-5005,farm,Other,36.50046853,-79.63568095,"<B>Briar Creek Farm</B><br><B>Address: </B>244 Schoolfield Rd Ruffin NC 27326<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""www.briarcreek.farm"" target=""_blank"">Website</a><br>",Not Accessible,https://www.briarcreek.farm
