name,zip,Phone,website,address,type,type2,latitude,longitude
3 Bluebirds Farm,27603,(919) 629-7500,www.3bluebirdsfarm.org,1001 Horse Creek Rd Raleigh NC 27603,farm,,35.6430717,-78.65526654
A Way of Life Farm,28018,(828) 287-1253,www.awayoflifefarm.com,856 Brooks Rd Bostic NC 28018,farm,,35.45563766,-81.84225282
Abernathy Farm,28056,(704) 718-6165,https://www.facebook.com/profile.php?id=61558984293619&mibextid=LQQJ4d,1000 Harper Rd Gastonia NC 28056,farm,,35.18808112,-81.14488412
All-A-Flutter Farms ,27265,(336) 454-5651,www.all-a-flutter.com,7850 Clinard Farms Rd # B High Point NC 27265,farm,,36.0568911,-79.9746975
Apple Hill Farm,,(828) 963-1662,https://applehillfarmnc.com,"400 Apple Hill Road Banner Elk, NC 28604",farm,,36.195398,-81.820088
Back To Earth Farm ,27205,(336) 000-1111,www.backtoearthfarm.com,3175 Trotter Rd Asheboro NC 27205,farm,,35.64200064,-79.95489429
Bee Wild Farm,27278,(919) 000-1111,www.beewildfarm.com,4416 St Marys Rd Hillsborough NC 27278,farm,,36.10870365,-79.02323758
Belvidere Blue Barn Alpaca Frm,27919,(252) 297-2194,www.belviderebluebarnalpacafarm.com,1625 Belvidere Rd Belvidere NC 27919,farm,,36.26815442,-76.54814301
Biltmore Farmyard,,800.411.3812,https://www.biltmore.com/visit/biltmore-estate/antler-hill-village/farmyard/,"1 Lodge St Asheville, NC 28803",farm,,35.5694466,-82.5386095
Black Creek Hill Farms,27504,(919) 524-5096,www.johnstoncountync.org,6019 N Carolina 50 Benson NC 27504,farm,You pick your own,35.45303,-78.555007
Blue Feather Creek Farm ,28675,(336) 000-1111,www.bluefeatherhomestead.weebly.com,942 Halsey Knob Rd Sparta NC 28675,farm,,36.54398303,-81.23026401
Blue Sky Farms NC ,27591,(919) 365-4355,https://blueskyfarmsnc.com,249 Mudham Rd Wendell NC 27591,farm,,35.75917639,-78.33018049
Brackett Town Farms Ltd,28761,(828) 000-1111,www.bracketttownfarms.com,555 Brackett Town Rd Nebo NC 28761,farm,Petting farm,35.56650677,-81.92650235
Briar Creek Farm,27326,(336) 939-5005,www.briarcreek.farm,244 Schoolfield Rd Ruffin NC 27326,farm,,36.50046853,-79.63568095
Briles Farm Brahmans,27370,(336) 410-2126,www.brilesfarm.com,1782 Ross Wood Rd Trinity NC 27370,farm,Petting farm,35.72425132,-80.02998665
Buckwheat Farm,27502,(919) 303-0339,www.buckwheatfarm.com,2700 Holland Rd Apex NC 27502,farm,You pick your own,35.71279503,-78.89635537
Buffalo Creek Farm,27019,(336) 969-5698,www.buffalocreekfarmandcreamery.com,3241 Buffalo Creek Farm Rd Germanton NC 27019,farm,,36.2562381,-80.2370532
Burch Farms,28341,(910) 267-5781,www.burchfarmsnc.com,685 Burch Rd Faison NC 28341,farm,,35.1107332,-78.20701699
CAMACHOS MINI FARM ACRES,,704-297-8098,https://www.camachominifarmacres.com/?,"5103 Fallston Road Lawndale, NC 28090",farm,,35.4361884,-81.5024596
Carter Blueberry Farm,28312,(910) 483-1670,www.carterblueberries.com,4140 Clinton Rd Fayetteville NC 28312,farm,You pick your own,35.03605813,-78.78097551
Changing Hearts Farm ,28152,(704) 000-1111,www.changingheartsfarm.org,306 College Farm Rd Shelby NC 28152,farm,,35.23634787,-81.67427981
Changing Tomorrow Farm ,27540,(919) 000-1111,www.changingtomorrowfarm.com,6312 Cass Holt Rd Holly Springs NC 27540,farm,Petting farm,35.61143348,-78.87028002
Cherry Mountain Farm ,28139,(828) 000-1111,www.cherrymountainfarm.com,3946 US 64 Hwy Rutherfordton NC 28139,farm,Petting farm,35.46715589,-81.88443816
Cody Farm,28137,(704) 463-5106,www.codystrawberryfarm.com,41025 Pauls Crossing Rd Richfield NC 28137,farm,You pick your own,35.43988659,-80.3034022
Darby Acres Farm,,704-738-4444,https://www.darbyacresfarm.com,"Hutchinson Ln, Charlotte, NC, 28216 (check website) ",farm,,35.316733,-80.926593
Eno River Farm,27278,(910) 622-3226,www.enoriverfarms.com,2127 St Marys Rd Hillsborough NC 27278,farm,You pick your own,36.12302551,-78.946364
Farm & Fleece Alpaca Ranch,28025,(619) 852-2862,www.farmandfleece.com,4401 Miami Church Rd Concord NC 28025,farm,Petting farm,35.35827097,-80.50311955
Fieldstream Farm ,27603,(919) 000-1111,www.fieldstreamfarm.com,8008 Old Stage Rd Raleigh NC 27603,farm,,35.66786413,-78.6598491
Franny's Farm,28748,(828) 708-5587,www.frannysfarm.com,22 Frannys Farm Rd Leicester NC 28748,farm,,35.656405,-82.7428948
Freedom Hill Farm,,(203) 321-6178,https://www.facebook.com/freedomhillfarmny/?_rdr,"311 Mize Nursery Ln , Columbus, NC ",farm,,35.2686842,-82.1713632
Full Spectrum Farms,28723,(828) 293-2521,https://www.fullspectrumfarms.org,1185 Wayehutta Rd Cullowhee NC 28723,farm,,35.32364822,-83.15567925
Gillis Hill Farm,28306,(910) 867-2350,www.gillishillfarm.com,2701 Gillis Hill Rd Fayetteville NC 28306,farm,Petting farm,35.01864636,-79.05392216
